paragraph_id,text_sha256,masked_host_text
PASSION24.TEXT.RELATED_HOUR_10.BODY.P009,c6748a7f3849a3d7058319b333cc0c038a0e257c46a192a2224a5e052e7f96e6,"⟦Q:JESUS⟧» Ensuite, Jésus me dit : «⟦Q:JESUS⟧»"
PASSION24.TEXT.RELATED_HOUR_13.BODY.P013,850228d7801c4357cbd34d667ad142e7fd34f9379bdec35cb28caba81e16fc35,⟦Q:JESUS⟧»
PASSION24.TEXT.RELATED_HOUR_13.BODY.P039,f53aa0754a18226ee45179be9733f5597d5b08b314bccfdfb4dbf623b4f1d713,"⟦Q:JESUS⟧» Plus tard, je me suis dit : «"
PASSION24.TEXT.RELATED_HOUR_14.BODY.P019,9e29d7a86ff3b99930b7292a89a119d4dcaf05db4d11fdf8449ad57ceb5a6316,"⟦Q:JESUS⟧» Plus tard, alors que je me replongeais dans la méditation, j'en étais à l'heure où mon bien-aimé Jésus était sorti de prison et amené de nouveau devant Caïphe."
PASSION24.TEXT.RELATED_HOUR_15.BODY.P109,14a5272c9efcfc0868a3374b0d78a77656e2d4e972cb750fed3df50efbf35865,"⟦Q:JESUS⟧» Plus tard, se montrant de nouveau à moi alors que j'étais complètement absorbée dans la Divine Volonté, Il me dit : «"
PASSION24.TEXT.RELATED_HOUR_16.BODY.P047,ddb5c717e12022cc404c402303ca04a0713eb84d33134bfd6dfccd74047ce612,"⟦Q:JESUS⟧» Se jetant alors dans mes bras, Jésus fondit en larmes."
PASSION24.TEXT.RELATED_HOUR_16.BODY.P096,3a7f439a0c61b604fde0482b742edab436bb676e4e68e92e8b81b2872f594f26,"⟦Q:JESUS⟧ » Qui pourrait décrire la manière de prier de Jésus et rappeler tout ce qu'Il a dit ! Ensuite, Il garda le silence et Il prit ma pauvre âme dans ses Mains en la palpant et l'examinant."
PASSION24.TEXT.RELATED_HOUR_17.BODY.P032,bb75e4e26bde7765cd903c29f131c1d35fffc9c9668505fe1ed73c854bca7890,"⟦Q:JESUS⟧» Je regardais mon aimable Jésus et Je pouvais voir sa tête très sainte entourée d'épines, lesquelles pénétraient dans sa tête et en sortaient."
PASSION24.TEXT.RELATED_HOUR_17.BODY.P050,b1556570f59acc497580c0ec527319b62fb9bc334f142cf20f7fe3ee92cab6e4,"Jésus dit : «⟦Q:JESUS⟧» Nous sommes partis et quand nous sommes arrivés à un endroit où il y avait beaucoup de gens, Jésus sortit Sa Tête de mon intérieur."
PASSION24.TEXT.RELATED_HOUR_17.BODY.P051,b685d871c1b8ebb60562d3f7e53aa46978f4a68429007c2a0482cf93359c5082,Il répéta les paroles que Pilate avait dites en présentant Jésus au peuple : «⟦Q:JESUS⟧» «Voici l'Homme !»
PASSION24.TEXT.RELATED_HOUR_17.BODY.P054,42d912e4cd5e106c63110b57aadab222f9359afdcab144b8de04701748d19e81,"Enlevez-Le, nous ne voulons pas de Lui. Même, crucifiez-Le, afin que toute mémoire de Lui soit détruite.» Oh ! Combien de fois cette scène s'est répétée ! Alors, le Seigneur répéta à tous : «⟦Q:JESUS⟧» Sur ces mots, un murmure se fit entendre."
PASSION24.TEXT.RELATED_HOUR_17.BODY.P057,ca2df7f69551cbbe7ab9ab2a0de7bdd3049e1a959ef38c28e2613a55e2198034,"⟦Q:JESUS⟧» Alors, nous nous sommes trouvés au milieu de prêtres, d'évêques, de religieux et de dévots."
PASSION24.TEXT.RELATED_HOUR_17.BODY.P058,cd60b2ae15588ce08032d6162959ed7a01568206d3154ef5c2fa960aff0d972e,"Avec une voix sonore, Jésus répéta : «⟦Q:JESUS⟧» Certains dirent : «Nous Le voulons, mais nous voulons aussi notre confort.» D'autres dirent : «Nous Le voulons, mais avec nos intérêts.» D'autres dirent : «Nous Le voulons, mais avec l'estime et les honneurs. Que serait un religieux sans estime ?» D'autres dirent : «Nous Le voulons, mais avec quelques satisfactions avec les créatures. Comment peut-on vivre seul et sans personne pour nous satisfaire ?» Certains arrivaient à vouloir au moins quelque satisfaction dans le sacrement de la confession."
PASSION24.TEXT.RELATED_HOUR_17.BODY.P073,70e33876c8f3932f34f7140d7d53b70ff347a5a0825dd92586c5eca9e5fe9f5d,⟦Q:JESUS⟧ ;
PASSION24.TEXT.RELATED_HOUR_17.BODY.P141,53c7855fdaf433deaaeaa1a9085d00b419136d241f43f61c6202433dbec15471,"⟦Q:JESUS⟧ """
PASSION24.TEXT.RELATED_HOUR_18.BODY.P072,c780030c61d806fb214e5a67a98969e19c9cd7c892b46c024ab0bcbdb09f21a0,"⟦Q:JESUS⟧» Je lui dis : «Mais, Jésus très saint, après le grand sacrifice que j'avais fait, ces gens s'en allaient faire du commérage. L'obéissance a justement interdit la venue de ces gens.»"
PASSION24.TEXT.RELATED_HOUR_19.BODY.P067,4577dc869f43e580bf03ae45452b3ffbb54d92e9791b5891f7a7bec34161574f,⟦Q:JESUS⟧» Seul Jésus sait ce que j'ai alors souffert.
PASSION24.TEXT.RELATED_HOUR_19.BODY.P074,4b42e11860cc612072e8b64ca52279ec1e2a12676daaeced1141e195ae565c42,"⟦Q:JESUS⟧» En disant cela, Il continua de souffler."
